,FREQ,KEYWORD,STATE
0,7.0,partner,ia
1,,,as
2,38.0,1u,dc
3,1.0,investment,wy
4,51.0,expediachat,co
5,106.0,partner,hi
6,20.0,handylady,mo
7,34.0,uberx,ga
8,2.0,tonight,nd
9,8.0,partner,ky
10,30.0,first,va
11,58.0,lyft,il
12,4.0,sharing,ne
13,13.0,logo,ct
14,67.0,lyft,fl
15,47.0,please,al
16,69.0,news,nv
17,6.0,dryvyng,ks
18,2.0,laundry,me
19,14.0,lyft,or
20,21.0,promo,mi
21,11.0,berniesanders,vt
22,58.0,expediachat,az
23,,,mp
24,2.0,lyft,ak
25,143.0,logo,ny
26,5.0,newsbreakslive,ar
27,12.0,app,md
28,54.0,partner,ma
29,221.0,partner,tx
30,15.0,partner,in
31,2.0,missing,wv
32,17.0,sundance,ut
33,6.0,logo,nh
34,9.0,lyft,nm
35,3.0,10,pr
36,36.0,partner,nc
37,36.0,chattown,tn
38,4.0,missing,sc
39,5.0,city,ms
40,34.0,promo,oh
41,29.0,lyft,pa
42,965.0,startup,ca
43,5.0,spotify,sd
44,5.0,please,ok
45,1.0,do,mt
46,13.0,logo,mn
47,4.0,yall,na
48,2.0,its,id
49,,,vi
50,34.0,expediachat,wa
51,,,gu
52,14.0,partner,wi
53,23.0,providenceri,ri
54,15.0,lyft,nj
55,12.0,promo,la
56,9.0,partner,de
